,fopt,kch,species,delta
464,0.66,300,Tc1,100.66450835417973
465,0.67,300,Tc1,101.92944303935283
466,0.68,300,Tc1,103.21128569021303
467,0.69,300,Tc1,104.51009168543912
468,0.7,300,Tc1,105.82590305439216
469,0.71,300,Tc1,107.15874754198457
470,0.72,300,Tc1,108.50863763635051
471,0.73,300,Tc1,109.87556955899426
472,0.74,300,Tc1,111.25952221884735
473,0.75,300,Tc1,112.6604561293333
474,0.76,300,Tc1,114.07831229050761
475,0.77,300,Tc1,115.51301103645518
476,0.78,300,Tc1,116.96445084983215
477,0.79,300,Tc1,118.43250714471186
478,0.8,300,Tc1,119.91703102037253
479,0.81,300,Tc1,121.41784798786819
480,0.82,300,Tc1,122.93475667238579
481,0.83,300,Tc1,124.46752749485756
482,0.84,300,Tc1,126.01590133608613
483,0.85,300,Tc1,127.57958818792747
484,0.86,300,Tc1,129.1582657959906
485,0.87,300,Tc1,130.7515782994186
486,0.88,300,Tc1,132.3591348730132
487,0.89,300,Tc1,133.98050837888593
488,0.9,300,Tc1,135.61523403366198
489,0.91,300,Tc1,137.26280809985371
490,0.92,300,Tc1,138.92268660883917
491,0.93,300,Tc1,140.59428412463137
492,0.94,300,Tc1,142.27697255810344
493,0.95,300,Tc1,143.9700800413674
494,0.96,300,Tc1,145.67288987316246
495,0.97,300,Tc1,147.38463954681706
496,0.98,300,Tc1,149.10451987193468
497,0.99,300,Tc1,150.83167420268623
498,1.0,300,Tc1,152.56519778508832
499,0.01,3,Tc2,5.513481795316011
500,0.02,3,Tc2,5.660621915551189
501,0.03,3,Tc2,5.813850459527715
502,0.04,3,Tc2,5.973513563913001
503,0.05,3,Tc2,6.1399826352129585
504,0.06,3,Tc2,6.313656617770395
505,0.07,3,Tc2,6.494964504551598
506,0.08,3,Tc2,6.684368120910737
507,0.09,3,Tc2,6.882365216060297
508,0.1,3,Tc2,7.0894929018322665
509,0.11,3,Tc2,7.306331484285526
510,0.12,3,Tc2,7.533508740525011
511,0.13,3,Tc2,7.771704701073638
512,0.14,3,Tc2,8.021657007576259
513,0.15,3,Tc2,8.284166926635821
514,0.16,3,Tc2,8.560106113574754
515,0.17,3,Tc2,8.850424235379243
516,0.18,3,Tc2,9.15615758024872
517,0.19,3,Tc2,9.47843880298648
518,0.2,3,Tc2,9.818507981292148
519,0.21,3,Tc2,10.177725189061013
520,0.22,3,Tc2,10.55758482998356
521,0.23,3,Tc2,10.959732019630044
522,0.24,3,Tc2,11.385981358316165
523,0.25,3,Tc2,11.838338502938928
524,0.26,3,Tc2,12.319025025941233
525,0.27,3,Tc2,12.830507147592119
526,0.28,3,Tc2,13.375529047925726
527,0.29,3,Tc2,13.957151612915263
528,0.3,3,Tc2,14.5787976529533
529,0.31,3,Tc2,15.24430485990392
530,0.32,3,Tc2,15.957988054336155
531,0.33,3,Tc2,16.724712632603186
532,0.34,3,Tc2,17.549981575837123
533,0.35,3,Tc2,18.44003895663073
534,0.36,3,Tc2,19.401993611828043
535,0.37,3,Tc2,20.443967589909544
536,0.38,3,Tc2,21.5752751959897
537,0.39,3,Tc2,22.806640035742
538,0.4,3,Tc2,24.150459525016267
539,0.41,3,Tc2,25.62112905311421
540,0.42,3,Tc2,27.23544159951385
541,0.43,3,Tc2,29.01308343420934
542,0.44,3,Tc2,30.977253043498337
543,0.45,3,Tc2,33.15543927500639
544,0.46,3,Tc2,35.580406834201
545,0.47,3,Tc2,38.29145406216998
546,0.48,3,Tc2,41.336031391142534
547,0.49,3,Tc2,44.771841983334994
548,0.5,3,Tc2,48.669593252313305
549,0.51,3,Tc2,53.11663594887785
550,0.52,3,Tc2,58.221826481673084
551,0.53,3,Tc2,64.12209384888848
552,0.54,3,Tc2,70.99140933411684
553,0.55,3,Tc2,79.05318292824568
554,0.56,3,Tc2,88.59760456326163
